date,rate
2003-12-31,0.5590299963951111
2004-01-31,0.5480999946594238
2004-02-29,0.5334799885749817
2004-03-31,0.5424799919128418
2004-04-30,0.5622400045394897
2004-05-31,0.5456699728965759
2004-06-30,0.5493900179862976
2004-07-31,0.5488200187683105
2004-08-31,0.5547900199890137
2004-09-30,0.5516300201416016
2004-10-31,0.5430399775505066
2004-11-30,0.5236700177192688
2004-12-31,0.5208899974822998
2005-01-31,0.5307300090789795
2005-02-28,0.521049976348877
2005-03-31,0.5292400121688843
2005-04-30,0.5238900184631348
2005-05-31,0.5501499772071838
2005-06-30,0.5585700273513794
2005-07-31,0.5699999928474426
2005-08-31,0.5545099973678589
2005-09-30,0.5666999816894531
2005-10-31,0.5653600096702576
2005-11-30,0.5777300000190735
2005-12-31,0.5811600089073181
2006-01-31,0.5622400045394897
2006-02-28,0.5700600147247314
2006-03-31,0.575469970703125
2006-04-30,0.5481600165367126
2006-05-31,0.5343000292778015
2006-06-30,0.5408300161361694
2006-07-31,0.5352699756622314
2006-08-31,0.5254600048065186
2006-09-30,0.5342699885368347
2006-10-31,0.5240300297737122
2006-11-30,0.5085399746894836
2006-12-31,0.5104100108146667
2007-01-31,0.5093200206756592
2007-02-28,0.5091599822044373
2007-03-31,0.508080005645752
2007-04-30,0.5
2007-05-31,0.5051000118255615
2007-06-30,0.49792999029159546
2007-07-31,0.4927600026130676
2007-08-31,0.49573999643325806
2007-09-30,0.4888100028038025
2007-10-31,0.4808200001716614
2007-11-30,0.48622000217437744
2007-12-31,0.5033699870109558
2008-01-31,0.5023599863052368
2008-02-29,0.5033699870109558
2008-03-31,0.5039799809455872
2008-04-30,0.5030699968338013
2008-05-31,0.5051800012588501
2008-06-30,0.5017600059509277
2008-07-31,0.5042600035667419
2008-08-31,0.5523300170898438
2008-09-30,0.5611400008201599
2008-10-31,0.622160017490387
2008-11-30,0.6515600085258484
2008-12-31,0.6823099851608276
2009-01-31,0.6938199996948242
2009-02-28,0.7003800272941589
2009-03-31,0.6971099972724915
2009-04-30,0.6762199997901917
2009-05-31,0.6180999875068665
2009-06-30,0.6072800159454346
2009-07-31,0.5986199975013733
2009-08-31,0.6137999892234802
2009-09-30,0.6249200105667114
2009-10-31,0.6079800128936768
2009-11-30,0.6076099872589111
2009-12-31,0.6179699897766113
2010-01-31,0.6259400248527527
2010-02-28,0.6587399840354919
2010-03-31,0.6585999727249146
2010-04-30,0.6535900235176086
2010-05-31,0.6886100172996521
2010-06-30,0.6691499948501587
2010-07-31,0.6370199918746948
2010-08-31,0.6465799808502197
2010-09-30,0.633080005645752
2010-10-31,0.6339499950408936
2010-11-30,0.6428300142288208
2010-12-31,0.6477900147438049
2011-01-31,0.6317399740219116
2011-02-28,0.6211000084877014
2011-03-31,0.6221200227737427
2011-04-30,0.600600004196167
2011-05-31,0.6065099835395813
2011-06-30,0.6220499873161316
2011-07-31,0.6109300255775452
2011-08-31,0.6132100224494934
2011-09-30,0.6410499811172485
2011-10-31,0.6206600069999695
2011-11-30,0.6411100029945374
2011-12-31,0.6486799716949463
2012-01-31,0.6366000175476074
2012-02-29,0.628059983253479
2012-03-31,0.6243399977684021
2012-04-30,0.6141999959945679
2012-05-31,0.6458699703216553
2012-06-30,0.6366599798202515
2012-07-31,0.6363999843597412
2012-08-31,0.6333000063896179
2012-09-30,0.619379997253418
2012-10-31,0.6220999956130981
2012-11-30,0.6233999729156494
2012-12-31,0.6187000274658203
2013-01-31,0.6330000162124634
2013-02-28,0.6593000292778015
2013-03-31,0.65802001953125
2013-04-30,0.6453999876976013
2013-05-31,0.6566399931907654
2013-06-30,0.6577100157737732
2013-07-31,0.6560800075531006
2013-08-31,0.6446999907493591
2013-09-30,0.6184700131416321
2013-10-31,0.6239799857139587
2013-11-30,0.6109099984169006
2013-12-31,0.6062399744987488
2014-01-31,0.6061199903488159
2014-02-28,0.5990899801254272
2014-03-31,0.600820004940033
2014-04-30,0.5943800210952759
2014-05-31,0.5966899991035461
2014-06-30,0.5870599746704102
2014-07-31,0.5913599729537964
2014-08-31,0.6027399897575378
2014-09-30,0.6156799793243408
2014-10-31,0.6249600052833557
2014-11-30,0.6404899954795837
2014-12-31,0.642300009727478
2015-01-31,0.663569986820221
2015-02-28,0.6477500200271606
2015-03-31,0.6752600073814392
2015-04-30,0.6482200026512146
2015-05-31,0.6527799963951111
