date,rate
2015-01-31,5.9566
2015-02-28,6.0082
2015-03-31,6.0780
2015-04-30,6.1806
2015-05-31,6.1865
2015-06-30,6.3253
2015-07-31,6.3225
2015-08-31,6.2657
2015-09-30,6.2149
2015-10-31,6.1489
2015-11-30,6.1371
2015-12-31,6.0559
2016-01-31,6.0024
2016-02-29,5.9865
2016-03-31,6.0370
2016-04-30,6.1063
2016-05-31,6.0130
2016-06-30,5.9815
2016-07-31,6.0174
2016-08-31,6.0168
2016-09-30,6.0942
2016-10-31,6.0320
2016-11-30,5.9910
2016-12-31,6.0051
2017-01-31,6.0409
2017-02-28,6.1276
2017-03-31,6.1343
2017-04-30,6.1331
2017-05-31,6.2193
2017-06-30,6.3152
2017-07-31,6.3416
2017-08-31,6.3943
2017-09-30,6.3677
2017-10-31,6.2656
2017-11-30,6.2354
2017-12-31,6.2927
2018-01-31,6.2858
2018-02-28,6.3087
2018-03-31,6.1377
2018-04-30,5.9847
2018-05-31,5.9814
2018-06-30,5.9473
2018-07-31,5.8642
2018-08-31,5.8659
2018-09-30,5.8589
2018-10-31,5.8414
2018-11-30,5.8106
2018-12-31,5.7958
2019-01-31,5.8629
2019-02-28,5.8805
2019-03-31,5.8589
2019-04-30,5.9498
2019-05-31,5.9055
2019-06-30,5.8323
2019-07-31,5.8878
2019-08-31,5.8527
2019-09-30,5.8078
2019-10-31,5.9055
2019-11-30,5.9061
2019-12-31,5.8605
2020-01-31,5.8583
2020-02-29,5.8366
2020-03-31,5.7456
2020-04-30,5.7840
2020-05-31,5.9104
2020-06-30,5.8388
2020-07-31,5.9168
2020-08-31,5.8430
2020-09-30,5.8426
2020-10-31,5.8325
2020-11-30,5.8499
2020-12-31,5.8202
2021-01-31,5.7094
2021-02-28,5.7212
2021-03-31,5.6693
2021-04-30,5.7867
2021-05-31,5.8971
2021-06-30,5.8861
2021-07-31,5.8007
2021-08-31,5.8933
2021-09-30,5.9412
2021-10-31,5.9929
2021-11-30,6.0794
2021-12-31,6.1717
2022-01-31,6.0800
2022-02-28,6.0723
2022-03-31,6.1337
2022-04-30,6.1332
2022-05-31,6.1431
2022-06-30,6.1639
2022-07-31,6.1066
2022-08-31,6.0369
2022-09-30,6.0501
2022-10-31,6.0443
2022-11-30,6.1303
2022-12-31,6.1155
2023-01-31,6.2658
2023-02-28,6.3112
2023-03-31,6.2686
2023-04-30,6.2782
2023-05-31,6.3567
2023-06-30,6.3454
2023-07-31,6.2766
2023-08-31,6.2777
2023-09-30,6.2447
2023-10-31,6.2729
2023-11-30,6.0255
2023-12-31,6.0503
2024-01-31,5.9743
2024-02-29,6.1285
2024-03-31,6.1366
2024-04-30,6.1361
2024-05-31,6.0839
2024-06-30,6.1693
2024-07-31,6.1844
2024-08-31,6.0804
2024-09-30,6.2105
2024-10-31,6.1376
2024-11-30,6.1293
2024-12-31,6.1317
